Sample,X,Y,Z
0,0.1279,-0.1494,-1.0483
1,0.1069,-0.1479,-1.0308
2,0.0500,-0.0615,-1.0259
3,0.0691,-0.0142,-1.0278
4,0.1138,-0.1206,-1.0396
5,0.1064,-0.1785,-1.0305
6,0.0603,-0.0952,-1.0132
7,0.0496,-0.0359,-1.0308
8,0.1011,-0.0671,-1.0454
9,0.1255,-0.1541,-1.0435
10,0.0935,-0.1379,-1.0315
11,0.0535,-0.0637,-1.0198
12,0.0693,-0.0376,-1.0298
13,0.1179,-0.1106,-1.0383
14,0.1169,-0.1726,-1.0344
15,0.0493,-0.1060,-1.0159
16,0.0371,-0.0210,-1.0181
17,0.1140,-0.0801,-1.0471
18,0.1155,-0.1758,-1.0432
19,0.0811,-0.1311,-1.0208
20,0.0618,-0.0559,-1.0276
21,0.0747,-0.0405,-1.0364
22,0.1113,-0.1147,-1.0356
23,0.1030,-0.1587,-1.0337
24,0.0474,-0.0947,-1.0181
25,0.0381,-0.0396,-1.0200
26,0.0935,-0.0779,-1.0337
27,0.1223,-0.1575,-1.0403
28,0.0869,-0.1421,-1.0356
29,0.0559,-0.0513,-1.0317
30,0.0903,-0.0146,-1.0415
31,0.1279,-0.1343,-1.0483
32,0.0994,-0.1731,-1.0208
33,0.0457,-0.0847,-1.0100
34,0.0464,-0.0188,-1.0159
35,0.1023,-0.1030,-1.0442
36,0.1152,-0.1704,-1.0376
37,0.0806,-0.1055,-1.0239
38,0.0496,-0.0510,-1.0317
39,0.0972,-0.0464,-1.0366
40,0.1318,-0.1243,-1.0435
41,0.0969,-0.1519,-1.0266
42,0.0518,-0.0867,-1.0181
43,0.0588,-0.0251,-1.0178
44,0.0957,-0.0964,-1.0386
45,0.1077,-0.1692,-1.0415
46,0.0857,-0.1243,-1.0217
47,0.0542,-0.0444,-1.0308
48,0.0977,-0.0469,-1.0435
49,0.1365,-0.1343,-1.0432
50,0.1023,-0.1575,-1.0315
51,0.0483,-0.0759,-1.0190
52,0.0513,-0.0291,-1.0239
53,0.0767,-0.1055,-1.0308
54,-0.2258,-0.1382,-0.9233
55,-0.6841,-0.1877,-0.9124
56,-0.8850,-0.0635,-1.0571
57,-0.8645,-0.0164,-1.1421
58,-0.9163,-0.2349,-1.1450
59,-0.9985,-0.2659,-1.0100
60,-0.7964,-0.1223,-1.1038
61,-0.6479,0.2268,-1.1418
62,-0.4634,-0.0364,-1.0696
63,-0.1333,0.0693,-0.9202
64,-0.0354,0.1814,-0.8657
65,-0.0757,-0.2119,-1.0764
66,-0.1533,-0.3943,-1.0728
67,-0.1660,-0.1724,-0.9937
68,-0.2837,0.0415,-0.9211
69,-0.4380,-0.1531,-1.0276
70,-0.4194,-0.4504,-1.1897
71,-0.5718,-0.1545,-1.0667
72,-0.5159,-0.0208,-1.0903
73,-0.4211,-0.2825,-1.0435
74,-0.5864,-0.2874,-1.0715
75,-0.7034,-0.0132,-1.0220
76,-0.5696,0.3416,-0.9370
77,-0.3782,-0.1995,-1.1292
78,-0.4563,-0.0674,-1.0493
79,-0.5156,-0.1731,-1.0178
80,-0.5142,0.1958,-0.8606
81,-0.3872,-0.1045,-1.1633
82,-0.4045,-0.0598,-1.0845
83,-0.3289,-0.2271,-1.0396
84,-0.3452,-0.1228,-0.9084
85,-0.1926,0.0261,-0.9360
86,-0.2585,-0.2903,-1.0325
87,-0.3215,-0.3647,-1.1440
88,-0.4604,-0.2717,-1.2346
89,-0.7808,0.2061,-0.9026
90,-0.6165,0.0894,-0.9448
91,-0.4341,-0.1726,-1.0159
92,-0.2021,-0.2827,-1.1636
93,-0.4817,0.0444,-1.0405
94,-0.6636,0.0425,-0.9622
