Sample,X,Y,Z
0,0.0974,-0.1721,-1.0461
1,0.0674,-0.1362,-1.0171
2,0.0581,-0.0642,-1.0178
3,0.0867,-0.0623,-1.0325
4,0.1167,-0.1526,-1.0513
5,0.1016,-0.1636,-1.0386
6,0.0496,-0.0842,-1.0110
7,0.0637,-0.0525,-1.0129
8,0.1099,-0.1104,-1.0474
9,0.1001,-0.1826,-1.0464
10,0.0635,-0.1372,-1.0210
11,0.0596,-0.0530,-1.0217
12,0.0940,-0.0786,-1.0415
13,0.1140,-0.1536,-1.0452
14,0.0845,-0.1611,-1.0415
15,0.0574,-0.0916,-1.0112
16,0.0793,-0.0496,-1.0227
17,0.1174,-0.1167,-1.0483
18,0.1121,-0.1816,-1.0520
19,0.0605,-0.1204,-1.0256
20,0.0510,-0.0569,-1.0178
21,0.1001,-0.0710,-1.0376
22,0.1187,-0.1492,-1.0513
23,0.0806,-0.1626,-1.0356
24,0.0540,-0.0808,-1.0142
25,0.0796,-0.0388,-1.0276
26,0.1079,-0.1311,-1.0432
27,0.0967,-0.1792,-1.0405
28,0.0601,-0.1047,-1.0161
29,0.0549,-0.0649,-1.0159
30,0.0945,-0.0764,-1.0396
31,0.1152,-0.1553,-1.0500
32,0.0842,-0.1555,-1.0354
33,0.0620,-0.0732,-1.0142
34,0.0920,-0.0547,-1.0276
35,0.1211,-0.1221,-1.0530
36,0.1040,-0.1704,-1.0413
37,0.0640,-0.1123,-1.0181
38,0.0637,-0.0505,-1.0168
39,0.1069,-0.0811,-1.0386
40,0.1138,-0.1638,-1.0435
41,0.0808,-0.1479,-1.0266
42,0.0581,-0.0754,-1.0142
43,0.0847,-0.0530,-1.0266
44,0.1140,-0.1235,-1.0510
45,0.1089,-0.1565,-1.0374
46,0.0603,-0.1218,-1.0217
47,0.0537,-0.0461,-1.0103
48,0.1074,-0.0872,-1.0435
49,0.1157,-0.1633,-1.0530
50,0.0837,-0.1404,-1.0295
51,0.0591,-0.0784,-1.0168
52,0.1060,-0.0496,-1.0305
53,0.1187,-0.1882,-1.0610
54,0.1370,0.0181,-1.0764
55,0.0813,0.3101,-1.0491
56,0.0459,0.1492,-1.0149
57,0.1416,0.0940,-1.0845
58,0.1814,0.4790,-1.2170
59,0.0552,1.0720,-1.1938
60,-0.0227,1.0327,-1.1223
61,0.1235,0.3728,-1.1519
62,0.1255,0.8999,-1.0217
63,-0.0330,1.5493,-1.0110
64,-0.0093,0.9937,-1.1262
65,0.0352,0.4021,-0.9800
66,0.1060,1.0134,-0.9185
67,0.0366,0.7722,-1.0220
68,0.0308,-0.2949,-1.0591
69,0.1963,-0.0017,-0.8003
70,0.1399,1.1069,-0.9592
71,0.0496,-0.1970,-1.3206
72,0.1084,-0.9526,-1.0386
73,0.1702,0.2734,-0.8596
74,0.0579,0.8796,-0.9634
75,0.0220,-0.1160,-1.0989
76,0.1616,-0.2822,-1.1343
77,0.1511,0.4604,-1.1252
78,0.1296,0.6421,-1.2268
79,0.1140,0.3628,-1.0188
80,0.1069,0.6538,-0.9602
81,0.1580,0.4146,-1.2505
82,-0.0046,0.5857,-1.2261
83,-0.0364,0.9741,-1.1223
84,-0.1157,1.0759,-0.7515
85,0.1785,0.3921,-1.0852
86,0.1514,0.2944,-1.0920
87,-0.1938,0.6130,-1.1001
88,-0.0496,0.9487,-1.0129
89,0.0977,0.0227,-1.0708
90,0.1965,-0.0642,-0.9797
91,0.1729,0.4285,-1.1343
92,0.1753,0.0654,-0.9829
93,0.0537,-0.2195,-1.0327
94,0.1116,0.5505,-0.9526
95,0.0688,0.3835,-1.1177
96,0.0574,0.0239,-1.1128
97,0.0684,0.0908,-1.1431
98,0.1135,0.8052,-0.9719
99,0.0791,0.4607,-1.1880
100,0.1140,0.0012,-1.0481
101,0.0356,0.2832,-0.9700
102,0.0420,0.5591,-0.9553
103,-0.0261,-0.1125,-1.0491
104,0.1650,-0.3794,-0.8462
105,0.1333,0.2019,-0.9067
106,-0.1531,0.0896,-0.9165
107,-0.0327,-0.3079,-1.0813
108,0.1899,-0.5835,-0.9761
109,0.0991,-0.3960,-1.0337
110,-0.1125,0.0852,-0.7444
111,0.1968,-0.6187,-1.2329
112,0.2424,-0.5725,-1.0383
113,0.1611,-0.4143,-1.1145
114,0.1479,-0.2212,-0.9419
115,0.0210,-0.3176,-1.1799
116,0.2366,-0.3049,-1.0422
117,0.3196,-0.0498,-0.9875
118,-0.0127,0.1538,-0.9858
119,-0.0750,0.0305,-0.9331
120,0.1040,0.2805,-1.1235
121,0.1018,0.1396,-1.1753
122,-0.0386,0.2371,-0.9175
123,-0.0283,0.4028,-1.0735
124,-0.0271,0.0581,-1.0344
125,0.1306,-0.0356,-0.9644
126,0.2026,-0.2937,-1.1196
127,-0.0991,0.2791,-0.9341
128,0.0547,-0.2161,-1.1360
129,0.1350,-0.2629,-0.9055
130,0.2039,-0.1711,-0.9534
131,0.0020,-0.1191,-0.8823
132,-0.0447,-0.2190,-1.0432
133,0.2007,0.0193,-1.0474
134,0.2126,-0.2437,-0.9683
135,0.1250,-0.3196,-0.9866
136,0.0369,-0.0161,-0.9553
137,0.1184,-0.2424,-1.1470
138,0.1704,-0.5239,-1.1333
139,0.2058,0.1118,-1.0706
140,0.1514,-0.0166,-1.0051
141,0.0479,-0.2405,-1.1624
142,0.0110,-0.0930,-0.9973
143,0.0330,0.4822,-0.9487
144,0.0430,0.1355,-1.1362
145,0.1414,-0.7190,-1.0930
146,0.2710,0.1824,-0.8540
147,0.0989,0.4124,-0.9504
148,-0.0662,0.0359,-1.0659
149,-0.0293,-0.5930,-1.0686
150,0.0547,0.0100,-0.8921
151,0.0049,0.4978,-0.8521
152,0.0312,-0.1418,-0.9749
153,0.0852,-0.4309,-1.0364
154,0.0474,-0.1780,-1.0229
155,-0.0232,0.0039,-1.0220
156,0.0051,-0.2903,-0.9993
157,0.2371,-0.4514,-1.0676
158,0.2351,-0.6917,-1.2278
159,-0.1362,-0.0752,-0.9563
160,0.0112,0.2747,-0.9983
161,0.2917,-0.1499,-1.1096
162,0.2556,-0.8088,-1.1458
163,0.1138,0.0549,-0.8813
164,-0.0420,0.4333,-1.1060
165,-0.0510,0.4263,-1.1135
166,0.1978,-0.6841,-1.0688
167,0.1660,-0.2227,-0.8794
168,-0.0474,0.2720,-1.0061
169,-0.0791,0.2129,-1.0210
170,0.0432,-0.4995,-1.1353
171,0.1260,-0.2913,-1.1565
172,0.0703,0.0776,-0.8938
173,0.1216,0.2888,-0.9565
174,0.1812,-0.3306,-1.1460
175,0.0566,-0.5173,-0.8987
176,-0.0090,-0.0012,-0.9087
177,0.0217,0.2134,-1.1458
178,0.1821,0.1240,-1.1646
179,0.1873,-0.6604,-0.9534
