Sample,X,Y,Z
0,0.0833,-0.0862,-1.0325
1,0.0974,-0.1162,-1.0422
2,0.0801,-0.0950,-1.0278
3,0.0764,-0.0789,-1.0256
4,0.1001,-0.1143,-1.0376
5,0.0881,-0.1125,-1.0337
6,0.0625,-0.0872,-1.0276
7,0.0894,-0.0972,-1.0356
8,0.0972,-0.1208,-1.0298
9,0.0688,-0.1003,-1.0286
10,0.0818,-0.0784,-1.0305
11,0.0959,-0.1184,-1.0315
12,0.0806,-0.1118,-1.0249
13,0.0757,-0.0757,-1.0317
14,0.0928,-0.1021,-1.0374
15,0.0881,-0.1113,-1.0276
16,0.0771,-0.0864,-1.0259
17,0.0884,-0.1030,-1.0366
18,0.0847,-0.1013,-1.0278
19,0.0806,-0.0933,-1.0259
20,0.0864,-0.1001,-1.0386
21,0.0862,-0.0962,-1.0298
22,0.0784,-0.1138,-1.0239
23,0.0911,-0.0854,-1.0288
24,0.0886,-0.1118,-1.0325
25,0.0725,-0.1013,-1.0266
26,0.0845,-0.0845,-1.0376
27,0.0864,-0.1060,-1.0269
28,0.0840,-0.1001,-1.0220
29,0.0854,-0.0942,-1.0366
30,0.0837,-0.0959,-1.0393
31,0.0786,-0.0923,-1.0259
32,0.0837,-0.1018,-1.0269
33,0.0898,-0.0916,-1.0383
34,0.0752,-0.0918,-1.0347
35,0.0818,-0.0989,-1.0286
36,0.0999,-0.0894,-1.0347
37,0.0789,-0.0886,-1.0286
38,0.0747,-0.1047,-1.0308
39,0.0867,-0.1001,-1.0334
40,0.0781,-0.0779,-1.0220
41,0.0803,-0.0994,-1.0325
42,0.0925,-0.1086,-1.0383
43,0.0820,-0.0828,-1.0308
44,0.0708,-0.0830,-1.0337
45,0.0981,-0.1204,-1.0396
46,0.0894,-0.0969,-1.0298
47,0.0696,-0.0796,-1.0278
48,0.0872,-0.1030,-1.0405
49,0.0908,-0.1040,-1.0327
50,0.0742,-0.0898,-1.0288
51,0.0852,-0.0918,-1.0354
52,0.0886,-0.0920,-1.0259
53,0.0740,-0.1035,-1.0266
54,0.0884,-0.0869,-1.0337
55,0.0867,-0.1016,-1.0354
56,-0.0146,-0.0852,-1.0073
57,-0.1211,-0.0176,-0.9846
58,-0.2295,-0.1938,-1.0054
59,-0.2651,-0.1924,-1.0491
60,-0.3921,0.0342,-1.0286
61,-0.5334,-0.0994,-1.0112
62,-0.4182,-0.1125,-1.0728
63,-0.3564,-0.1484,-1.0920
64,-0.5071,-0.1377,-0.9927
65,-0.4749,-0.0037,-1.0073
66,-0.2559,0.0095,-1.1011
67,-0.2881,-0.1357,-1.0901
68,-0.3774,-0.1282,-0.9504
69,-0.2913,-0.0654,-0.9517
70,-0.3792,0.2234,-0.9868
71,-0.6252,-0.2900,-1.0669
72,-0.5317,-0.3684,-1.0295
73,-0.1951,-0.1904,-1.2454
74,-0.5024,0.2007,-0.9602
75,-0.6750,-0.3105,-0.9927
76,-0.2930,-0.2510,-1.0903
77,-0.3928,0.0212,-1.1460
78,-0.6274,0.2209,-1.0061
79,-0.3013,-0.3079,-1.0159
80,-0.0898,-0.3508,-1.0676
81,-0.4761,0.1006,-1.0139
82,-0.5881,0.0959,-0.9028
83,-0.2686,-0.2346,-0.9426
84,-0.3369,-0.3765,-1.1685
85,-0.6633,0.3982,-1.0298
86,-0.6399,-0.0410,-1.0806
87,-0.2920,-0.2026,-0.9380
88,-0.1145,-0.4180,-1.1223
89,-0.4758,0.1162,-1.0630
90,-0.6401,-0.0732,-1.0686
91,-0.4434,-0.0559,-0.9641
92,-0.2258,-0.1021,-0.9780
93,-0.3533,-0.1934,-1.0483
94,-0.4644,-0.0999,-1.0686
95,-0.5081,-0.1379,-1.1001
96,-0.5354,0.0693,-0.9624
97,-0.6672,0.0652,-0.9819
98,-0.4016,-0.1462,-1.0776
99,-0.1948,-0.2542,-1.0696
100,-0.3521,-0.1157,-0.9817
101,-0.4497,-0.0227,-1.0891
102,-0.4155,-0.1082,-1.0911
103,-0.3042,0.0276,-1.0159
104,-0.1680,-0.0945,-1.0715
105,0.1443,-0.0796,-1.0530
106,0.0933,-0.1995,-0.9250
107,-0.1660,-0.4045,-1.1760
108,-0.5552,0.0342,-0.9846
109,-0.3501,0.2417,-1.1038
110,0.0688,-0.0149,-1.1089
111,0.3513,-0.3967,-1.0344
112,0.2693,-0.2385,-0.9944
113,-0.2642,0.0762,-1.1223
114,-0.1228,0.1809,-1.0862
115,0.2263,-0.2278,-0.9856
116,0.4629,-0.3657,-1.0005
117,0.1907,-0.1965,-1.0071
118,-0.0630,0.1570,-0.9907
119,0.0012,0.1680,-1.0754
120,0.2234,-0.1951,-0.8909
121,0.2456,-0.2361,-0.9810
122,0.0352,-0.2019,-1.0024
123,-0.0635,0.0654,-1.0073
124,-0.0088,-0.0076,-1.2112
125,0.0940,-0.0974,-1.1409
126,0.1418,-0.2666,-1.0894
127,0.1943,-0.0896,-0.9612
128,0.2661,-0.0408,-0.8909
129,0.2732,-0.2766,-1.1174
130,-0.1987,-0.2471,-1.2336
131,-0.3687,0.5044,-0.8059
132,0.0601,0.0244,-0.9624
133,0.3452,-0.3247,-0.9604
134,0.3806,-0.2375,-1.1477
135,-0.0676,-0.0505,-1.0386
136,-0.3135,0.3435,-0.9399
137,0.1936,-0.0112,-0.9858
138,0.3921,-0.6519,-1.0679
139,0.0896,-0.5161,-1.1470
140,-0.2043,0.2830,-0.9399
141,-0.0645,0.2615,-1.1724
142,0.4490,-0.0056,-1.1262
143,0.6802,-0.5815,-0.9868
144,-0.1045,-0.5618,-0.9260
145,-0.3911,0.3872,-0.9104
146,-0.2979,0.4412,-1.0298
147,0.1533,-0.2368,-1.2544
148,0.4917,-0.3843,-1.0503
149,0.2876,-0.2759,-0.8774
150,-0.2424,0.3777,-0.7798
151,-0.1228,0.2371,-1.0776
152,0.2100,-0.3540,-1.1577
153,0.3384,-0.5532,-1.1431
154,0.1980,-0.2102,-0.9133
155,-0.1619,0.3611,-0.8511
156,-0.0466,0.1550,-1.1870
157,0.2134,-0.3931,-1.2261
158,0.1960,-0.3889,-1.1438
159,0.1052,0.0684,-0.8831
160,0.2109,0.1743,-0.8655
161,0.4158,-0.2131,-1.1702
162,0.2939,-0.5815,-1.4565
163,-0.2317,0.0107,-1.0698
164,-0.1724,0.2939,-0.8149
165,0.2012,0.0334,-0.8149
166,0.2703,-0.3489,-1.1545
167,0.0652,-0.1924,-1.1458
168,-0.2886,0.2075,-0.9114
169,0.0435,0.1721,-0.9126
170,0.2107,-0.2263,-0.8743
171,0.1741,-0.5420,-1.1353
172,0.0603,-0.2090,-1.1692
173,-0.0420,0.2300,-1.0842
174,0.1682,0.1340,-1.0520
175,0.2415,-0.2168,-1.0327
176,0.1860,-0.3269,-1.0630
177,0.0559,-0.1982,-1.1392
178,0.1760,0.2161,-0.9797
179,0.4722,-0.2114,-0.9897
180,0.0681,-0.5784,-1.0774
181,-0.3811,0.0984,-0.9019
182,-0.1897,0.2944,-0.9631
183,0.0554,-0.1589,-0.9741
184,0.2727,-0.4087,-1.0884
185,0.1975,-0.0933,-0.9849
186,-0.1848,0.1252,-0.9341
187,-0.0759,0.2678,-1.0737
188,0.1416,-0.3071,-0.9360
189,0.2173,-0.4419,-1.0845
190,0.2441,-0.1875,-1.0747
191,-0.0046,0.1548,-0.9827
192,0.1187,0.1433,-1.1353
193,0.2957,-0.1846,-1.0432
194,0.0322,-0.3813,-1.0825
195,-0.0493,-0.0193,-0.9663
196,-0.0273,0.0908,-0.9614
197,0.1748,-0.1128,-1.0845
198,0.4009,-0.3765,-1.0171
199,0.2546,-0.3547,-0.9758
200,-0.2405,-0.1091,-1.0864
201,-0.3428,0.6382,-0.8313
202,0.2144,-0.2205,-1.2612
203,0.4351,-0.5327,-1.2241
204,0.2383,-0.1597,-1.0454
205,-0.0779,0.1951,-0.8950
206,-0.0618,0.3562,-0.9976
207,0.1580,-0.2886,-1.1392
208,0.2407,-0.5562,-1.1821
209,0.1226,-0.2234,-1.1030
210,-0.0117,0.2490,-0.9341
211,0.1289,0.0586,-1.0364
212,0.4001,-0.4402,-1.0286
213,0.0818,-0.3928,-0.9963
214,-0.3745,0.4067,-0.8508
215,-0.0916,0.1497,-1.0735
216,0.1638,-0.2107,-1.0715
217,0.4529,-0.2971,-1.2034
218,-0.1509,-0.2708,-0.8782
219,-0.1655,0.3755,-0.7942
220,0.0913,-0.1016,-0.9810
221,0.1448,-0.4194,-1.1792
222,0.0352,-0.4048,-1.2700
223,-0.0420,0.2017,-0.8840
224,-0.0613,0.1733,-1.0413
225,0.2642,-0.0449,-1.0767
226,0.4705,-0.6067,-1.1448
227,-0.1472,-0.4233,-0.8052
228,-0.2087,0.3352,-0.8882
229,-0.2822,0.5535,-0.8481
230,0.1843,-0.4275,-1.2668
231,0.3433,-0.5522,-1.2222
232,0.0586,-0.2983,-0.8618
233,-0.1985,0.3542,-0.7192
234,0.0461,0.1821,-0.9924
235,0.2566,-0.4409,-1.2007
236,0.1001,-0.4438,-1.2476
237,-0.0459,-0.1033,-0.9585
238,-0.1597,0.3706,-0.8977
239,-0.0640,-0.1147,-1.0825
240,0.1982,-0.2534,-1.2485
241,0.3367,-0.3972,-1.1213
242,0.5134,0.1035,-0.9963
243,0.0415,-0.1145,-1.0891
244,-0.4270,0.3015,-0.9448
245,0.0591,-0.1333,-1.2231
246,0.5557,-0.5942,-1.1646
247,0.3442,-0.0483,-0.9341
