Sample,X,Y,Z
0,0.0823,-0.1155,-1.0308
1,0.0869,-0.1130,-1.0305
2,0.0820,-0.1038,-1.0325
3,0.0786,-0.1147,-1.0315
4,0.0857,-0.1064,-1.0286
5,0.0835,-0.1025,-1.0288
6,0.0823,-0.1174,-1.0305
7,0.0886,-0.1040,-1.0344
8,0.0881,-0.1030,-1.0315
9,0.0813,-0.1135,-1.0305
10,0.0925,-0.1150,-1.0347
11,0.0857,-0.1025,-1.0305
12,0.0762,-0.1133,-1.0298
13,0.0869,-0.1118,-1.0278
14,0.0852,-0.1130,-1.0334
15,0.0747,-0.1011,-1.0288
16,0.0820,-0.1130,-1.0317
17,0.0945,-0.1106,-1.0334
18,0.0808,-0.1094,-1.0315
19,0.0769,-0.1023,-1.0298
20,0.0906,-0.1101,-1.0337
21,0.0801,-0.1104,-1.0298
22,0.0740,-0.1001,-1.0247
23,0.0881,-0.1118,-1.0305
24,0.0864,-0.1133,-1.0334
25,0.0818,-0.1045,-1.0317
26,0.0840,-0.1096,-1.0308
27,0.0847,-0.1079,-1.0298
28,0.0884,-0.1038,-1.0354
29,0.0845,-0.1094,-1.0298
30,0.0811,-0.1018,-1.0298
31,0.0886,-0.1018,-1.0334
32,0.0876,-0.1165,-1.0344
33,0.0771,-0.1052,-1.0276
34,0.0803,-0.1086,-1.0315
35,0.0852,-0.1099,-1.0295
36,0.0798,-0.1113,-1.0337
37,0.0862,-0.1045,-1.0288
38,0.0854,-0.1072,-1.0295
39,0.0835,-0.1077,-1.0266
40,0.0845,-0.1016,-1.0295
41,0.0818,-0.1030,-1.0288
42,0.0852,-0.1208,-1.0334
43,0.0879,-0.0972,-1.0269
44,0.0828,-0.1045,-1.0308
45,0.0862,-0.1172,-1.0288
46,0.0879,-0.1001,-1.0315
47,0.0833,-0.1035,-1.0305
48,0.0815,-0.1089,-1.0288
49,0.0852,-0.1062,-1.0286
50,0.0818,-0.1064,-1.0286
51,0.0840,-0.1108,-1.0347
52,0.0923,-0.1045,-1.0337
53,0.0840,-0.1030,-1.0298
54,0.1030,-0.1038,-1.0376
55,0.2417,-0.1284,-1.0962
56,0.1567,0.0078,-0.9653
57,0.0435,-0.0632,-0.9680
58,0.1101,-0.0400,-1.0874
59,0.0293,-0.2166,-1.0979
60,-0.0603,-0.0227,-0.9915
61,0.0161,0.2769,-1.0383
62,0.1208,0.1274,-1.1145
63,0.0906,0.1375,-1.1323
64,0.1240,0.3950,-1.1047
65,0.0938,0.6355,-1.0649
66,0.0396,0.6226,-1.1135
67,0.1086,0.3113,-1.1313
68,0.0964,0.6274,-1.0520
69,0.0520,1.2927,-0.9653
70,0.1282,0.6929,-1.0959
71,0.1133,0.0828,-1.0813
72,0.0488,0.7368,-0.9221
73,-0.0142,1.4763,-0.9917
74,0.0154,-0.1201,-1.1460
75,0.1733,-0.8843,-1.0952
76,0.1821,0.9773,-0.8374
77,0.0396,1.5535,-1.0288
78,0.1687,-0.8801,-1.3254
79,0.1494,-0.5554,-1.0220
80,0.0632,1.2212,-0.8293
81,0.0383,1.0271,-1.0806
82,0.0767,-0.5854,-0.9868
83,0.2615,0.0117,-1.0969
84,0.1365,1.2993,-1.1877
85,-0.0928,0.6453,-1.1724
86,-0.0208,-0.3958,-0.9846
87,0.1697,0.4927,-0.8450
88,0.0383,1.1890,-1.0208
89,0.0073,0.4119,-1.3286
90,-0.0476,-0.1663,-1.1968
91,0.1226,0.9341,-0.8811
92,0.1980,0.9048,-0.8059
93,0.1030,-0.2061,-1.1108
94,-0.0330,0.2576,-1.1821
95,-0.0737,0.7388,-1.0149
96,0.2849,0.3315,-1.0530
97,0.2334,-0.1130,-1.0806
98,0.0481,0.5933,-0.9905
99,0.0256,0.6509,-1.1614
100,0.1987,-0.1946,-1.0913
101,0.1074,0.0100,-0.9556
102,-0.0852,0.9897,-0.8792
103,-0.0095,0.2168,-1.1577
104,0.0776,0.0027,-1.1047
105,0.1792,0.5271,-1.1558
